drug_name,condition,severity,color,description_en,description_ar
# ==========================================
# CARDIOVASCULAR CONDITIONS
# ==========================================
NSAIDs,Heart Failure,Major,red,NSAIDs can worsen heart failure by causing fluid retention. Avoid if possible.,مضادات الالتهاب غير الستيرويدية يمكن أن تزيد فشل القلب سوءًا. تجنبها إن أمكن.
Ibuprofen,Heart Failure,Major,red,Ibuprofen increases risk of hospitalization in heart failure patients.,الإيبوبروفين يزيد خطر دخول المستشفى في مرضى فشل القلب.
Naproxen,Heart Failure,Major,red,Naproxen can worsen fluid retention in heart failure.,النابروكسين يمكن أن يزيد احتباس السوائل في فشل القلب.
Verapamil,Heart Failure,Major,red,Verapamil worsens heart failure due to negative inotropic effect.,فيراباميل يزيد فشل القلب سوءًا بسبب التأثير السلبي على قوة القلب.
Diltiazem,Heart Failure,Major,red,Diltiazem can worsen systolic heart failure.,ديلتيازيم يمكن أن يزيد فشل القلب الانقباضي سوءًا.
Metoprolol,Decompensated Heart Failure,Major,red,Do not start beta blockers during acute decompensated heart failure.,لا تبدأ حاصرات بيتا أثناء فشل القلب الحاد غير المعوض.
Thiazolidinediones,Heart Failure,Major,red,Pioglitazone and Rosiglitazone cause fluid retention - contraindicated in HF.,بيوغليتازون وروزيغليتازون يسببان احتباس السوائل - ممنوع في فشل القلب.
Saxagliptin,Heart Failure,Moderate,orange,Saxagliptin may increase heart failure hospitalization risk.,ساكساغليبتين قد يزيد خطر دخول المستشفى بسبب فشل القلب.
Beta Blockers,Bradycardia,Major,red,Beta blockers contraindicated in symptomatic bradycardia (<50 bpm).,حاصرات بيتا ممنوعة في بطء القلب المصحوب بأعراض.
Verapamil,Heart Block,Contraindicated,red,Verapamil contraindicated in second and third degree heart block.,فيراباميل ممنوع في الإحصار القلبي من الدرجة الثانية والثالثة.
Digoxin,Wolff-Parkinson-White,Contraindicated,red,Digoxin can cause fatal arrhythmias in WPW syndrome.,الديجوكسين يمكن أن يسبب اضطرابات نظم قاتلة في متلازمة WPW.
