drug_name,food,severity,color,description_en,description_ar
# ==========================================
# ANTICOAGULANTS & ANTIPLATELETS
# ==========================================
Warfarin,Vitamin K Rich Foods,Major,red,Foods high in Vitamin K (spinach kale broccoli) reduce Warfarin effectiveness. Maintain consistent intake.,الأطعمة الغنية بفيتامين K (السبانخ والكرنب) تقلل فعالية الوارفارين. حافظ على نظام غذائي ثابت.
Warfarin,Cranberry,Major,red,Cranberry juice may increase bleeding risk with Warfarin.,عصير التوت البري قد يزيد خطر النزيف مع الوارفارين.
Warfarin,Grapefruit,Moderate,orange,Grapefruit may affect Warfarin metabolism.,الجريب فروت قد يؤثر على استقلاب الوارفارين.
Warfarin,Green Tea,Moderate,orange,Large amounts of green tea may reduce Warfarin effect due to Vitamin K.,كميات كبيرة من الشاي الأخضر قد تقلل تأثير الوارفارين بسبب فيتامين K.
Warfarin,Alcohol,Major,red,Alcohol affects Warfarin metabolism unpredictably. Avoid excess.,الكحول يؤثر على استقلاب الوارفارين بشكل غير متوقع.
Warfarin,Garlic,Moderate,orange,Garlic supplements may increase bleeding risk.,مكملات الثوم قد تزيد خطر النزيف.
Warfarin,Ginger,Moderate,orange,Ginger may increase bleeding risk.,الزنجبيل قد يزيد خطر النزيف.
Warfarin,Fish Oil,Moderate,orange,High-dose fish oil may increase bleeding risk.,زيت السمك بجرعات عالية قد يزيد خطر النزيف.
Clopidogrel,Grapefruit,Moderate,orange,Grapefruit may reduce Clopidogrel activation.,الجريب فروت قد يقلل تنشيط كلوبيدوجريل.
Aspirin,Alcohol,Major,red,Alcohol with Aspirin significantly increases GI bleeding risk.,الكحول مع الأسبرين يزيد بشكل كبير خطر نزيف المعدة.
Aspirin,Foods before taking,Minor,yellow,Take Aspirin with food to reduce stomach irritation.,تناول الأسبرين مع الطعام لتقليل تهيج المعدة.

# ==========================================
# STATINS
# ==========================================
Simvastatin,Grapefruit,Contraindicated,red,Grapefruit dramatically increases Simvastatin levels causing rhabdomyolysis.,الجريب فروت يزيد بشكل كبير مستويات سيمفاستاتين مسببًا انحلال العضلات.
Atorvastatin,Grapefruit,Major,red,Grapefruit increases Atorvastatin levels. Limit to one small serving daily.,الجريب فروت يزيد مستويات أتورفاستاتين. قلل من تناوله.
Lovastatin,Grapefruit,Contraindicated,red,Grapefruit contraindicated with Lovastatin due to severe muscle damage risk.,الجريب فروت ممنوع مع لوفاستاتين بسبب خطر تلف العضلات.
Rosuvastatin,Grapefruit,Minor,yellow,Minimal interaction with Rosuvastatin - safer choice if you consume grapefruit.,تفاعل طفيف مع روزوفاستاتين - خيار أكثر أمانًا.
Pravastatin,Grapefruit,Minor,yellow,No significant grapefruit interaction with Pravastatin.,لا يوجد تفاعل مهم مع الجريب فروت.
Statins,High-Fat Meals,Moderate,orange,Take statins consistently - with or without food - but high fat may reduce absorption.,تناول الستاتينات بانتظام - الدهون العالية قد تقلل الامتصاص.
Statins,Alcohol,Moderate,orange,Heavy alcohol use increases liver damage risk with statins.,الإفراط في الكحول يزيد خطر تلف الكبد مع الستاتينات.
Statins,Red Yeast Rice,Major,red,Red yeast rice contains natural statins - may cause overdose.,أرز الخميرة الحمراء يحتوي على ستاتينات طبيعية - قد يسبب جرعة زائدة.

# ==========================================
# CALCIUM CHANNEL BLOCKERS
# ==========================================
Felodipine,Grapefruit,Major,red,Grapefruit increases Felodipine levels 3-fold causing severe hypotension.,الجريب فروت يزيد مستويات فيلوديبين 3 أضعاف مسببًا انخفاض الضغط.
Nifedipine,Grapefruit,Major,red,Grapefruit significantly increases Nifedipine levels.,الجريب فروت يزيد بشكل كبير مستويات نيفيديبين.
Amlodipine,Grapefruit,Moderate,orange,Grapefruit may increase Amlodipine levels moderately.,الجريب فروت قد يزيد مستويات أملوديبين بشكل معتدل.
Verapamil,Grapefruit,Major,red,Grapefruit increases Verapamil levels significantly.,الجريب فروت يزيد مستويات فيراباميل بشكل كبير.
Diltiazem,Grapefruit,Moderate,orange,Grapefruit may increase Diltiazem levels.,الجريب فروت قد يزيد مستويات ديلتيازيم.

# ==========================================
# ACE INHIBITORS & ARBs
# ==========================================
Lisinopril,Potassium-Rich Foods,Moderate,orange,Limit high-potassium foods (bananas oranges potatoes) to avoid hyperkalemia.,قلل من الأطعمة الغنية بالبوتاسيوم (الموز والبرتقال) لتجنب فرط البوتاسيوم.
Enalapril,Potassium-Rich Foods,Moderate,orange,Monitor potassium intake while on ACE inhibitors.,راقب تناول البوتاسيوم أثناء استخدام مثبطات ACE.
Losartan,Potassium-Rich Foods,Moderate,orange,ARBs can increase potassium - avoid potassium supplements.,يمكن أن ترفع ARBs البوتاسيوم - تجنب مكملات البوتاسيوم.
Valsartan,Potassium-Rich Foods,Moderate,orange,Monitor potassium with ARB therapy.,راقب البوتاسيوم مع علاج ARB.
Captopril,Food,Moderate,orange,Take Captopril 1 hour before meals for best absorption.,تناول كابتوبريل قبل ساعة من الطعام للحصول على أفضل امتصاص.

# ==========================================
# THYROID MEDICATIONS
# ==========================================
